title,url,status,sistema,sistema_simplificat,tipus_personal,tipus_personal_simplificat,grup_titulacio,grup_titulacio_simplificat,perfil_recerca,data_inici,data_final,n_materies,n_materies_cap,requereix_angles,requereix_catala,requereix_catala_c1,requisit_catala_simplificat,materia_informatica,materia_tecnologia,materia_enginyeria,cluster
1 plaça d'Assistant Researcher for AI applications in market research project,https://cido.diba.cat/oposicions/21187042/1-placa-dassistant-researcher-for-ai-applications-in-market-research-project-fundacio-bosch-gimpera,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,A1 - Grau universitari (correspondència amb llicenciatures),universitari_a1,Recerca,NA,2026-04-12,5,5,FALSE,FALSE,FALSE,no_especificat,TRUE,FALSE,TRUE,1
1 plaça d'Analista de dades,https://cido.diba.cat/oposicions/21172274/1-placa-danalista-de-dades-universitat-oberta-de-catalunya-uoc,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,A - Grau universitari,universitari_altres,No_recerca,2026-02-27,2026-04-07,2,2,FALSE,FALSE,FALSE,no_especificat,TRUE,FALSE,FALSE,1
1 plaça de Tècnic de govern TIC,https://cido.diba.cat/oposicions/21283918/1-placa-de-tecnic-de-govern-tic-universitat-oberta-de-catalunya-uoc,Termini obert,Concurs o valoració de mèrits,merits,Laboral,laboral_no_temporal,A - Grau universitari,universitari_altres,No_recerca,NA,2026-04-03,2,2,TRUE,TRUE,FALSE,catala_altre,FALSE,FALSE,FALSE,3
1 plaça d'Enginyer d'IA (AI Platform & Solutions Engineer),https://cido.diba.cat/oposicions/21142740/1-placa-denginyer-dia-ai-platform-solutions-engineer-universitat-oberta-de-catalunya-uoc,Termini obert,Concurs o valoració de mèrits,merits,Laboral,laboral_no_temporal,A - Grau universitari,universitari_altres,No_recerca,NA,2026-04-07,2,2,FALSE,FALSE,FALSE,no_especificat,TRUE,FALSE,TRUE,1
1 plaça de Computational Biology Systems Researcher (R2),https://cido.diba.cat/oposicions/21275846/1-placa-de-computational-biology-systems-researcher-r2-barcelona-supercomputing-center-centro-nacional-de-supercomputacion-bsc-cns,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,A1 - Grau universitari (correspondència amb llicenciatures),universitari_a1,Recerca,NA,2026-04-05,3,3,TRUE,FALSE,FALSE,no_especificat,TRUE,FALSE,FALSE,3
"1 plaça de Doctorand per a l'autoorganització intercomputacional de la infraestructura de càlcul en xarxes 6G, a la Xarxa de Doctorat NEWTON MSCA",https://cido.diba.cat/oposicions/21276098/1-placa-de-doctorand-per-a-lautoorganitzacio-intercomputacional-de-la-infraestructura-de-calcul-en-xarxes-6g-a-la-xarxa-de-doctorat-newton-msca-universitat-oberta-de-catalunya-uoc,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,A1 - Grau universitari (correspondència amb llicenciatures),universitari_a1,Recerca,NA,2026-05-18,4,4,TRUE,FALSE,FALSE,no_especificat,TRUE,FALSE,TRUE,3
1 plaça de Tècnic TIC i de sistemes d'informació (SI),https://cido.diba.cat/oposicions/21271578/1-placa-de-tecnic-tic-i-de-sistemes-dinformacio-si-empresa-municipal-mixta-daigues-de-tarragona-sa-ematsa,Termini obert,Concurs oposició o valoració de mèrits i prova,prova_o_oposicio,Laboral,laboral_no_temporal,"C2 - ESO, graduat escolar, FP 1r grau, cicles formatius grau mitjà",no_universitari,No_recerca,NA,2026-04-06,1,1,FALSE,TRUE,FALSE,catala_altre,TRUE,FALSE,FALSE,2
"1 plaça de Data Specialist for Public Administration Projects, AI Factory, CSSH Lab (RE3)",https://cido.diba.cat/oposicions/21264797/1-placa-de-data-specialist-for-public-administration-projects-ai-factory-cssh-lab-re3-barcelona-supercomputing-center-centro-nacional-de-supercomputacion-bsc-cns,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,A1 - Grau universitari (correspondència amb llicenciatures),universitari_a1,Recerca,NA,2026-04-13,3,3,TRUE,FALSE,FALSE,no_especificat,TRUE,FALSE,FALSE,3
1 plaça de Master student in AI4Land benchmarking (R0),https://cido.diba.cat/oposicions/21264790/1-placa-de-master-student-in-ai4land-benchmarking-r0-barcelona-supercomputing-center-centro-nacional-de-supercomputacion-bsc-cns,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,A1 - Grau universitari (correspondència amb llicenciatures),universitari_a1,Recerca,NA,2026-04-13,3,3,TRUE,TRUE,FALSE,catala_altre,TRUE,FALSE,FALSE,3
1 plaça de Research Engineer/Researcher Climate Services Team (RE2/R2),https://cido.diba.cat/oposicions/21264771/1-placa-de-research-engineerresearcher-climate-services-team-re2r2-barcelona-supercomputing-center-centro-nacional-de-supercomputacion-bsc-cns,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,A1 - Grau universitari (correspondència amb llicenciatures),universitari_a1,Recerca,NA,2026-04-13,5,5,TRUE,TRUE,FALSE,catala_altre,TRUE,FALSE,FALSE,3
1 plaça de PhD position: Development of a standardized framework for AI threat models and robustness (Project GENOME),https://cido.diba.cat/oposicions/21264648/1-placa-de-phd-position-development-of-a-standardized-framework-for-ai-threat-models-and-robustness-project-genome-fundacio-i2cat-internet-i-innovacio-digital-a-catalunya,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,A1 - Grau universitari (correspondència amb llicenciatures),universitari_a1,Recerca,NA,2026-04-03,5,5,TRUE,FALSE,FALSE,no_especificat,TRUE,TRUE,TRUE,3
1 plaça de Fullstack developer PHP,https://cido.diba.cat/oposicions/21255903/1-placa-de-fullstack-developer-php-upcnet-sl,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,A - Grau universitari,universitari_altres,No_recerca,NA,2026-04-12,1,1,FALSE,FALSE,FALSE,no_especificat,TRUE,FALSE,FALSE,1
1 plaça de PhD Position: Mixture-of-Experts for Intent-Based Networking in 6G (Project GENOME),https://cido.diba.cat/oposicions/21264610/1-placa-de-phd-position-mixture-of-experts-for-intent-based-networking-in-6g-project-genome-fundacio-i2cat-internet-i-innovacio-digital-a-catalunya,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,A1 - Grau universitari (correspondència amb llicenciatures),universitari_a1,Recerca,NA,2026-04-03,5,5,TRUE,FALSE,FALSE,no_especificat,TRUE,TRUE,TRUE,3
1 plaça de Professor agregat per a l'Àrea de Coneixement: Ciència de la Computació i Intel·ligència Artificial (PA214),https://cido.diba.cat/oposicions/21237567/1-plaaa-de-professor-agregat-per-a-larea-de-coneixement-ciancia-de-la-computacia-i-intelligancia-artificial-pa214-universitat-de-lleida-udl,Termini obert,Concurs oposició o valoració de mèrits i prova,prova_o_oposicio,Laboral,laboral_no_temporal,A1 - Grau universitari (correspondència amb llicenciatures),universitari_a1,Recerca,NA,2026-04-13,3,3,FALSE,TRUE,TRUE,catala_c1,TRUE,FALSE,FALSE,2
1 plaça de Junior Helpdesk Linux - (First level),https://cido.diba.cat/oposicions/21247560/1-placa-de-junior-helpdesk-linux-first-level-barcelona-supercomputing-center-centro-nacional-de-supercomputacion-bsc-cns,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,"C1 - Batxillerat, FP 2n grau, cicles formatius grau superior",no_universitari,Recerca,NA,2026-04-30,2,2,TRUE,TRUE,FALSE,catala_altre,TRUE,FALSE,FALSE,3
1 plaça de Research Engineer HPC developer (RE1),https://cido.diba.cat/oposicions/21247548/1-placa-de-research-engineer-hpc-developer-re1-barcelona-supercomputing-center-centro-nacional-de-supercomputacion-bsc-cns,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,A - Grau universitari,universitari_altres,Recerca,NA,2026-04-30,3,3,TRUE,FALSE,FALSE,no_especificat,TRUE,FALSE,FALSE,3
1 plaça de Research Technician - Quantum computing for Earth Sciences (RE1),https://cido.diba.cat/oposicions/21247523/1-placa-de-research-technician-quantum-computing-for-earth-sciences-re1-barcelona-supercomputing-center-centro-nacional-de-supercomputacion-bsc-cns,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,A1 - Grau universitari (correspondència amb llicenciatures),universitari_a1,Recerca,NA,2026-04-11,4,4,TRUE,FALSE,FALSE,no_especificat,TRUE,FALSE,FALSE,3
